\tB\tGap
0.000000000000000000e+00	1.795152068138122559e+00
1.570796370506286621e-01	1.629632711410522461e+00
3.141592741012573242e-01	1.434209823608398438e+00
4.712389409542083740e-01	1.152233004570007324e+00
6.283185482025146484e-01	8.230532407760620117e-01
7.853981852531433105e-01	4.720941185951232910e-01
9.424778819084167480e-01	1.115530729293823242e-01
1.099557399749755859e+00	9.593726694583892822e-02
1.256637096405029297e+00	6.258697807788848877e-02
1.413716793060302734e+00	3.931362926959991455e-01
1.570796370506286621e+00	5.886894464492797852e-01
