kz\tepsilon\tsigmax\tsigmay\tsigmaz
9.0000000000e-01	2.2186604235e+00	-2.7882190921e-03	2.7329977541e-03	9.9999237977e-01
9.0000000000e-01	4.0645248837e+00	2.7882190920e-03	-2.7329977540e-03	-9.9999237977e-01
9.2222222222e-01	2.3869791685e+00	-3.5830235914e-03	3.5345536085e-03	9.9998733553e-01
9.2222222222e-01	3.8962061387e+00	3.5830235913e-03	-3.5345536085e-03	-9.9998733553e-01
9.4444444444e-01	2.5791184334e+00	5.0205567049e-03	-4.9851285267e-03	-9.9997497157e-01
9.4444444444e-01	3.7040668737e+00	-5.0205567049e-03	4.9851285267e-03	9.9997497157e-01
9.6666666667e-01	2.7933230474e+00	-8.3794642398e-03	8.3664397833e-03	9.9992989126e-01
9.6666666667e-01	3.4898622598e+00	8.3794642398e-03	-8.3664397834e-03	-9.9992989126e-01
9.8888888889e-01	3.0235293755e+00	2.5158605363e-02	-2.5200270809e-02	-9.9936579522e-01
9.8888888889e-01	3.2596559316e+00	-2.5158605363e-02	2.5200270809e-02	9.9936579522e-01
1.0111111111e+00	3.2597804881e+00	-2.5132034897e-02	2.5173633338e-02	-9.9936713511e-01
1.0111111111e+00	3.0234048191e+00	2.5132034897e-02	-2.5173633338e-02	9.9936713511e-01
1.0333333333e+00	3.4899843739e+00	8.3764623216e-03	-8.3634209109e-03	9.9992994167e-01
1.0333333333e+00	2.7932009333e+00	-8.3764623216e-03	8.3634209109e-03	-9.9992994167e-01
1.0555555556e+00	3.7041847981e+00	-5.0194444013e-03	4.9840047873e-03	-9.9997498275e-01
1.0555555556e+00	2.5790005091e+00	5.0194444013e-03	-4.9840047873e-03	9.9997498275e-01
1.0777777778e+00	3.8963192672e+00	3.5824324494e-03	-3.5339538397e-03	9.9998733977e-01
1.0777777778e+00	2.3868660400e+00	-3.5824324494e-03	3.5339538397e-03	-9.9998733977e-01
1.1000000000e+00	4.0646335497e+00	2.7878425522e-03	-2.7326145780e-03	9.9999238187e-01
1.1000000000e+00	2.2185517575e+00	-2.7878425522e-03	2.7326145780e-03	-9.9999238187e-01
