qx	qy	Energy_lower	Energy_upper
-7.0000000000e-02	-7.0000000000e-02	4.2019708897e+00	2.0812144174e+00
-7.0000000000e-02	-6.0000000000e-02	4.1339836856e+00	2.1492016215e+00
-7.0000000000e-02	-5.0000000000e-02	4.0710403803e+00	2.2121449269e+00
-7.0000000000e-02	-4.0000000000e-02	4.0150183943e+00	2.2681669128e+00
-7.0000000000e-02	-3.0000000000e-02	3.9680424938e+00	2.3151428134e+00
-7.0000000000e-02	-2.0000000000e-02	3.9323334571e+00	2.3508518501e+00
-7.0000000000e-02	-1.0000000000e-02	3.9099241408e+00	2.3732611663e+00
-7.0000000000e-02	0.0000000000e+00	3.9022755864e+00	2.3809097208e+00
-7.0000000000e-02	1.0000000000e-02	3.9099235966e+00	2.3732617106e+00
-7.0000000000e-02	2.0000000000e-02	3.9323324057e+00	2.3508529015e+00
-7.0000000000e-02	3.0000000000e-02	3.9680409994e+00	2.3151443078e+00
-7.0000000000e-02	4.0000000000e-02	4.0150165343e+00	2.2681687729e+00
-7.0000000000e-02	5.0000000000e-02	4.0710382329e+00	2.2121470743e+00
-7.0000000000e-02	6.0000000000e-02	4.1339813224e+00	2.1492039848e+00
-7.0000000000e-02	7.0000000000e-02	4.2019683721e+00	2.0812169351e+00
-7.0000000000e-02	8.0000000000e-02	4.2734180385e+00	2.0097672687e+00
-7.0000000000e-02	9.0000000000e-02	4.3470351797e+00	1.9361501275e+00
-7.0000000000e-02	1.0000000000e-01	4.4217757956e+00	1.8614095115e+00
-6.0000000000e-02	-1.0000000000e-01	4.3692921208e+00	1.9138931864e+00
-6.0000000000e-02	-9.0000000000e-02	4.2898956115e+00	1.9932896957e+00
-6.0000000000e-02	-8.0000000000e-02	4.2111178179e+00	2.0720674893e+00
-6.0000000000e-02	-7.0000000000e-02	4.1339836856e+00	2.1492016215e+00
-6.0000000000e-02	-6.0000000000e-02	4.0598140595e+00	2.2233712477e+00
-6.0000000000e-02	-5.0000000000e-02	3.9902991870e+00	2.2928861202e+00
-6.0000000000e-02	-4.0000000000e-02	3.9275623500e+00	2.3556229572e+00
-6.0000000000e-02	-3.0000000000e-02	3.8741678145e+00	2.4090174927e+00
-6.0000000000e-02	-2.0000000000e-02	3.8329891680e+00	2.4501961392e+00
-6.0000000000e-02	-1.0000000000e-02	3.8068395827e+00	2.4763457245e+00
-6.0000000000e-02	0.0000000000e+00	3.7978537618e+00	2.4853315454e+00
-6.0000000000e-02	1.0000000000e-02	3.8068389409e+00	2.4763463662e+00
-6.0000000000e-02	2.0000000000e-02	3.8329879402e+00	2.4501973670e+00
-6.0000000000e-02	3.0000000000e-02	3.8741660931e+00	2.4090192141e+00
-6.0000000000e-02	4.0000000000e-02	3.9275602394e+00	2.3556250678e+00
-6.0000000000e-02	5.0000000000e-02	3.9902967855e+00	2.2928885217e+00
-6.0000000000e-02	6.0000000000e-02	4.0598114510e+00	2.2233738562e+00
-6.0000000000e-02	7.0000000000e-02	4.1339809380e+00	2.1492043692e+00
-6.0000000000e-02	8.0000000000e-02	4.2111149846e+00	2.0720703226e+00
-6.0000000000e-02	9.0000000000e-02	4.2898927345e+00	1.9932925727e+00
-6.0000000000e-02	1.0000000000e-01	4.3692892326e+00	1.9138960745e+00
-5.0000000000e-02	-1.0000000000e-01	4.3219092578e+00	1.9612760494e+00
-5.0000000000e-02	-9.0000000000e-02	4.2379585182e+00	2.0452267890e+00
-5.0000000000e-02	-8.0000000000e-02	4.1540185095e+00	2.1291667977e+00
-5.0000000000e-02	-7.0000000000e-02	4.0710403803e+00	2.2121449269e+00
-5.0000000000e-02	-6.0000000000e-02	3.9902991870e+00	2.2928861202e+00
-5.0000000000e-02	-5.0000000000e-02	3.9135134836e+00	2.3696718235e+00
-5.0000000000e-02	-4.0000000000e-02	3.8429911226e+00	2.4401941846e+00
-5.0000000000e-02	-3.0000000000e-02	3.7817581458e+00	2.5014271614e+00
-5.0000000000e-02	-2.0000000000e-02	3.7335414308e+00	2.5496438764e+00
-5.0000000000e-02	-1.0000000000e-02	3.7023607717e+00	2.5808245355e+00
-5.0000000000e-02	0.0000000000e+00	3.6915287925e+00	2.5916565147e+00
-5.0000000000e-02	1.0000000000e-02	3.7023599967e+00	2.5808253105e+00
-5.0000000000e-02	2.0000000000e-02	3.7335399710e+00	2.5496453362e+00
-5.0000000000e-02	3.0000000000e-02	3.7817561405e+00	2.5014291667e+00
-5.0000000000e-02	4.0000000000e-02	3.8429887149e+00	2.4401965923e+00
-5.0000000000e-02	5.0000000000e-02	3.9135107956e+00	2.3696745116e+00
-5.0000000000e-02	6.0000000000e-02	3.9902963137e+00	2.2928889935e+00
-5.0000000000e-02	7.0000000000e-02	4.0710373932e+00	2.2121479140e+00
-5.0000000000e-02	8.0000000000e-02	4.1540154617e+00	2.1291698455e+00
-5.0000000000e-02	9.0000000000e-02	4.2379554493e+00	2.0452298579e+00
-5.0000000000e-02	1.0000000000e-01	4.3219061979e+00	1.9612791093e+00
-4.0000000000e-02	-1.0000000000e-01	4.2808368728e+00	2.0023484344e+00
-4.0000000000e-02	-9.0000000000e-02	4.1926289448e+00	2.0905563624e+00
-4.0000000000e-02	-8.0000000000e-02	4.1037512675e+00	2.1794340397e+00
-4.0000000000e-02	-7.0000000000e-02	4.0150183943e+00	2.2681669128e+00
-4.0000000000e-02	-6.0000000000e-02	3.9275623500e+00	2.3556229572e+00
-4.0000000000e-02	-5.0000000000e-02	3.8429911226e+00	2.4401941846e+00
-4.0000000000e-02	-4.0000000000e-02	3.7636311673e+00	2.5195541399e+00
-4.0000000000e-02	-3.0000000000e-02	3.6928576162e+00	2.5903276910e+00
-4.0000000000e-02	-2.0000000000e-02	3.6353940442e+00	2.6477912629e+00
-4.0000000000e-02	-1.0000000000e-02	3.5971220821e+00	2.6860632250e+00
-4.0000000000e-02	0.0000000000e+00	3.5835714506e+00	2.6996138566e+00
-4.0000000000e-02	1.0000000000e-02	3.5971211140e+00	2.6860641931e+00
-4.0000000000e-02	2.0000000000e-02	3.6353922684e+00	2.6477930388e+00
-4.0000000000e-02	3.0000000000e-02	3.6928552531e+00	2.5903300541e+00
-4.0000000000e-02	4.0000000000e-02	3.7636284122e+00	2.5195568950e+00
-4.0000000000e-02	5.0000000000e-02	3.8429881203e+00	2.4401971869e+00
-4.0000000000e-02	6.0000000000e-02	3.9275592010e+00	2.3556261062e+00
-4.0000000000e-02	7.0000000000e-02	4.0150151679e+00	2.2681701392e+00
-4.0000000000e-02	8.0000000000e-02	4.1037480121e+00	2.1794372951e+00
-4.0000000000e-02	9.0000000000e-02	4.1926256950e+00	2.0905596122e+00
-4.0000000000e-02	1.0000000000e-01	4.2808336542e+00	2.0023516530e+00
-3.0000000000e-02	-1.0000000000e-01	4.2472838930e+00	2.0359014142e+00
-3.0000000000e-02	-9.0000000000e-02	4.1553563634e+00	2.1278289438e+00
-3.0000000000e-02	-8.0000000000e-02	4.0620677848e+00	2.2211175224e+00
-3.0000000000e-02	-7.0000000000e-02	3.9680424938e+00	2.3151428134e+00
-3.0000000000e-02	-6.0000000000e-02	3.8741678145e+00	2.4090174927e+00
-3.0000000000e-02	-5.0000000000e-02	3.7817581458e+00	2.5014271614e+00
-3.0000000000e-02	-4.0000000000e-02	3.6928576162e+00	2.5903276910e+00
-3.0000000000e-02	-3.0000000000e-02	3.6107931767e+00	2.6723921305e+00
-3.0000000000e-02	-2.0000000000e-02	3.5410742368e+00	2.7421110704e+00
-3.0000000000e-02	-1.0000000000e-02	3.4922261048e+00	2.7909592024e+00
-3.0000000000e-02	0.0000000000e+00	3.4742765227e+00	2.8089087845e+00
-3.0000000000e-02	1.0000000000e-02	3.4922248326e+00	2.7909604746e+00
-3.0000000000e-02	2.0000000000e-02	3.5410720164e+00	2.7421132908e+00
-3.0000000000e-02	3.0000000000e-02	3.6107903681e+00	2.6723949391e+00
-3.0000000000e-02	4.0000000000e-02	3.6928544713e+00	2.5903308359e+00
-3.0000000000e-02	5.0000000000e-02	3.7817548180e+00	2.5014304892e+00
-3.0000000000e-02	6.0000000000e-02	3.8741643966e+00	2.4090209106e+00
-3.0000000000e-02	7.0000000000e-02	3.9680390440e+00	2.3151462631e+00
-3.0000000000e-02	8.0000000000e-02	4.0620643419e+00	2.2211209653e+00
-3.0000000000e-02	9.0000000000e-02	4.1553529542e+00	2.1278323529e+00
-3.0000000000e-02	1.0000000000e-01	4.2472805371e+00	2.0359047700e+00
-2.0000000000e-02	-1.0000000000e-01	4.2223698161e+00	2.0608154911e+00
-2.0000000000e-02	-9.0000000000e-02	4.1275238554e+00	2.1556614518e+00
-2.0000000000e-02	-8.0000000000e-02	4.0307062906e+00	2.2524790166e+00
-2.0000000000e-02	-7.0000000000e-02	3.9323334571e+00	2.3508518501e+00
-2.0000000000e-02	-6.0000000000e-02	3.8329891680e+00	2.4501961392e+00
-2.0000000000e-02	-5.0000000000e-02	3.7335414308e+00	2.5496438764e+00
-2.0000000000e-02	-4.0000000000e-02	3.6353940442e+00	2.6477912629e+00
-2.0000000000e-02	-3.0000000000e-02	3.5410742368e+00	2.7421110704e+00
-2.0000000000e-02	-2.0000000000e-02	3.4556825878e+00	2.8275027194e+00
-2.0000000000e-02	-1.0000000000e-02	3.3901627276e+00	2.8930225796e+00
-2.0000000000e-02	0.0000000000e+00	3.3639592790e+00	2.9192260282e+00
-2.0000000000e-02	1.0000000000e-02	3.3901609181e+00	2.8930243891e+00
-2.0000000000e-02	2.0000000000e-02	3.4556797403e+00	2.8275055669e+00
-2.0000000000e-02	3.0000000000e-02	3.5410709107e+00	2.7421143965e+00
-2.0000000000e-02	4.0000000000e-02	3.6353905042e+00	2.6477948030e+00
