T\tDeltaS
1.000000000000000000e+02	1.080976519915926914e+00
1.500000000000000000e+02	1.065051877323297980e+00
2.000000000000000000e+02	1.047874852774173249e+00
2.500000000000000000e+02	1.033519733467531010e+00
3.000000000000000000e+02	1.022944745792149224e+00
3.500000000000000000e+02	1.018074449271323845e+00
4.000000000000000000e+02	1.013622640147980647e+00
4.500000000000000000e+02	1.010732518474504182e+00
5.000000000000000000e+02	1.008453422287024726e+00
5.500000000000000000e+02	1.007631117544468990e+00
